G,W,L,W-L%,W,L,W,L,Tm.,Opp.
28,12,16,.429,9,4,3,10,1603,1596
28,14,14,.500,10,5,4,9,2201,2155
27,8,19,.296,6,7,2,12,1962,2072
34,21,13,.618,12,4,4,9,2640,2477
29,14,15,.483,9,4,5,9,1860,1846
29,17,12,.586,13,2,1,8,2002,1887
28,7,21,.250,5,9,2,11,1846,2120
33,14,19,.424,7,3,5,12,2280,2413
30,16,14,.533,11,1,3,13,1991,1857
29,19,10,.655,12,2,6,7,2434,2309
32,20,12,.625,12,3,4,6,2464,2257
32,28,4,.875,14,1,11,1,2725,2262
30,18,12,.600,11,2,4,8,2125,2111
28,4,24,.143,2,8,2,16,1526,2077
28,13,15,.464,9,5,3,9,2072,1918
28,9,19,.321,8,8,1,9,1726,1863
27,5,22,.185,4,9,1,12,1482,1769
34,22,12,.647,13,4,4,5,2408,2235
31,23,8,.742,14,0,6,7,2204,2101
30,13,17,.433,9,5,2,11,2199,2281
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
28,14,14,.500,10,6,2,7,1932,1915
29,17,12,.586,8,3,7,8,2108,2029
30,8,22,.267,4,7,3,14,1941,2187
27,14,13,.519,9,2,4,11,1797,1787
28,19,9,.679,12,2,7,7,1958,1828
29,13,16,.448,9,7,4,8,1897,1924
31,19,12,.613,9,6,9,3,2462,2367
31,20,11,.645,10,3,8,8,2100,1960
29,13,16,.448,8,4,4,10,1962,2012
30,12,18,.400,7,7,3,10,2204,2169
32,23,9,.719,13,1,6,5,2299,2032
29,17,12,.586,7,3,10,7,2144,2107
29,14,15,.483,7,4,4,9,1687,1706
28,5,23,.179,5,8,0,15,1815,2022
33,27,6,.818,13,0,10,5,2229,1986
30,16,14,.533,7,6,6,6,2046,2057
29,10,19,.345,6,6,4,10,1825,1933
29,14,15,.483,9,4,4,10,2073,2009
29,20,9,.690,11,2,8,5,2029,1857
24,6,18,.250,4,7,2,11,1575,1770
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
32,18,14,.563,10,2,6,7,2066,1931
31,22,9,.710,13,1,7,4,2301,2171
27,5,22,.185,5,8,0,13,1756,2098
28,10,18,.357,6,7,3,10,1967,1992
28,14,14,.500,9,1,5,10,2145,2117
28,15,13,.536,9,4,5,7,1891,1879
32,21,11,.656,9,4,8,6,2292,2104
32,25,7,.781,12,1,9,5,2553,2346
28,14,14,.500,9,4,5,9,1828,1839
29,13,16,.448,11,4,2,11,1985,2027
30,21,9,.700,11,3,8,5,2435,2221
30,3,27,.100,2,10,0,14,1896,2249
29,17,12,.586,13,3,3,7,1954,1796
28,8,20,.286,7,8,1,11,1858,1933
28,15,13,.536,13,4,1,8,1916,1907
30,8,22,.267,5,8,2,12,1969,2196
28,13,15,.464,8,4,5,11,1886,1925
28,14,14,.500,9,4,5,8,1897,1869
33,25,8,.758,12,2,8,5,2461,2233
33,19,14,.576,14,4,3,9,2450,2363
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points
G,W,L,W-L%,W,L,W,L,Tm.,Opp.
32,20,12,.625,14,1,3,9,2405,2251
27,2,25,.074,1,9,1,13,1340,1676
33,23,10,.697,14,2,5,6,2622,2351
28,11,17,.393,5,4,6,11,1625,1726
27,9,18,.333,5,7,4,11,1641,1831
34,29,5,.853,17,0,7,4,2688,2202
27,8,19,.296,4,9,3,10,1625,1725
27,17,10,.630,11,2,6,7,2180,1920
30,24,6,.800,17,1,7,4,2182,2007
27,15,12,.556,11,0,4,11,1680,1690
29,15,14,.517,8,5,5,8,1990,1981
32,17,15,.531,10,3,2,9,2268,2210
29,16,13,.552,13,3,3,9,1949,1881
30,18,12,.600,10,3,6,8,2128,1935
