G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
35,26,9,.743,17,1,6,5,2414,1960,815,1662,.490,316,789,.401,468,620,.755,969,533,234,57,359,526
33,26,7,.788,13,1,10,4,2485,2014,900,1857,.485,245,624,.393,440,657,.670,1159,503,267,141,414,611
30,10,20,.333,9,5,0,13,1856,2052,653,1690,.386,150,555,.270,400,633,.632,1071,324,224,236,539,600
31,15,16,.484,9,4,5,9,2051,2016,707,1663,.425,204,612,.333,433,711,.609,1095,348,207,107,428,523
30,10,20,.333,7,5,3,11,1826,2007,601,1650,.364,177,580,.305,447,690,.648,1031,283,183,83,421,607
32,20,12,.625,14,2,2,9,2369,2223,844,1849,.456,209,563,.371,472,667,.708,1242,420,181,170,441,460
33,23,10,.697,11,2,11,7,2241,2147,798,1762,.453,227,607,.374,418,579,.722,1112,436,191,82,437,634
30,11,19,.367,8,3,3,12,2012,2265,705,1706,.413,146,508,.287,456,678,.673,1077,283,196,82,561,719
30,16,14,.533,10,3,6,11,1945,1865,678,1584,.428,172,502,.343,417,572,.729,1037,404,173,71,414,563
33,25,8,.758,12,1,9,6,2508,2239,914,1909,.479,252,693,.364,428,622,.688,1146,516,285,121,487,594
30,8,22,.267,7,11,1,10,1755,1853,633,1535,.412,196,616,.318,293,447,.655,975,392,181,60,434,538
31,20,11,.645,11,5,7,4,2417,2247,846,1770,.478,172,505,.341,553,737,.750,1158,511,189,103,427,425
30,13,17,.433,7,6,5,11,1979,2075,680,1590,.428,165,518,.319,454,678,.670,1068,393,157,73,449,549
31,12,19,.387,7,3,4,15,1862,2022,690,1750,.394,115,425,.271,367,587,.625,1161,300,198,131,486,578
33,18,15,.545,11,2,5,10,2392,2375,831,1820,.457,241,608,.396,489,718,.681,1176,457,196,123,508,653
35,21,14,.600,13,3,2,8,2487,2311,881,1910,.461,212,613,.346,513,730,.703,1233,521,240,221,532,612
31,15,16,.484,10,4,3,12,1896,1892,664,1535,.433,187,473,.395,381,547,.697,971,412,221,88,501,593
32,17,15,.531,15,5,2,7,2340,2307,851,1876,.454,235,701,.335,403,639,.631,1164,532,270,130,526,613
33,21,12,.636,13,2,7,9,2310,2211,797,1795,.444,207,593,.349,509,746,.682,1097,439,255,96,435,580
31,9,22,.290,7,7,2,11,1848,1974,645,1676,.385,125,459,.272,433,623,.695,1012,320,242,74,419,644
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,15,16,.484,13,5,0,9,2333,2262,825,1793,.460,252,694,.363,431,641,.672,1123,434,184,116,451,625
33,23,10,.697,9,2,10,6,2390,2128,848,1836,.462,288,811,.355,406,587,.692,1228,513,201,105,528,605
30,9,21,.300,6,7,3,13,1631,1925,578,1485,.389,136,447,.304,339,553,.613,950,321,198,92,485,574
29,13,16,.448,7,6,5,9,1905,1918,673,1592,.423,214,611,.350,345,505,.683,966,302,216,59,416,586
31,17,14,.548,13,2,3,11,2360,2234,837,1828,.458,220,649,.339,466,705,.661,1190,457,208,108,475,538
33,21,12,.636,14,4,5,6,2453,2303,842,1763,.478,196,562,.349,573,791,.724,1142,483,188,191,455,505
30,12,18,.400,7,7,5,10,1802,1801,622,1480,.420,208,577,.360,350,517,.677,959,343,162,103,425,573
31,13,18,.419,8,7,3,10,2062,2137,730,1661,.439,209,597,.350,393,581,.676,999,453,230,114,440,717
35,22,13,.629,14,3,5,8,2616,2475,924,2011,.459,349,831,.420,419,618,.678,1046,544,291,82,399,647
34,25,9,.735,17,0,6,7,2654,2347,972,1981,.491,256,617,.415,454,688,.660,1273,542,205,118,456,662
29,11,18,.379,6,4,4,12,1759,1840,539,1250,.431,204,552,.370,477,643,.742,759,357,209,75,447,534
31,22,9,.710,10,2,11,6,1965,1791,662,1415,.468,188,508,.370,453,627,.722,953,427,196,47,456,532
31,12,19,.387,8,7,2,11,2109,2226,712,1734,.411,165,523,.315,520,752,.691,1186,427,237,79,592,661
36,29,7,.806,14,2,8,4,2434,2056,780,1792,.435,321,871,.369,553,728,.760,1068,437,195,64,341,688
30,19,11,.633,12,2,5,7,2265,2160,806,1733,.465,280,713,.393,373,583,.640,1056,430,201,99,388,517
29,15,14,.517,0,0,1,6,1977,1875,711,1608,.442,159,507,.314,396,592,.669,1026,346,203,90,111,544
30,20,10,.667,12,2,7,7,2462,2291,905,1973,.459,247,673,.367,405,629,.644,1180,519,204,65,463,584
31,14,17,.452,10,5,2,11,2340,2353,831,1852,.449,168,509,.330,510,716,.712,1204,453,278,77,592,771
28,5,23,.179,4,7,1,14,1867,2219,634,1535,.413,177,574,.308,422,584,.723,878,340,176,83,502,618
33,15,18,.455,9,3,3,13,2186,2210,756,1673,.452,202,561,.360,472,652,.724,1168,430,144,135,538,603
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
31,7,24,.226,4,8,2,14,1991,2249,730,1832,.398,219,665,.329,312,454,.687,998,365,240,46,424,563
29,18,11,.621,8,6,10,4,2065,1955,728,1550,.470,184,497,.370,425,586,.725,1005,402,180,88,402,472
33,16,17,.485,8,7,3,8,2293,2281,822,1850,.444,249,693,.359,400,520,.769,1018,447,151,63,385,559
31,14,17,.452,12,3,1,13,2433,2446,810,1806,.449,236,692,.341,577,799,.722,1109,509,300,93,553,601
31,12,19,.387,4,9,7,9,2154,2249,776,1839,.422,214,638,.335,388,596,.651,1149,408,217,76,511,634
31,10,21,.323,8,5,1,13,2125,2328,754,1715,.440,175,504,.347,442,617,.716,933,414,247,62,476,668
30,10,20,.333,7,6,2,12,1958,2018,691,1672,.413,165,539,.306,411,564,.729,1105,340,154,166,439,599
34,22,12,.647,13,4,9,5,2344,2247,790,1822,.434,262,688,.381,502,688,.730,1180,424,204,115,481,544
31,22,9,.710,15,1,5,6,2258,2020,762,1621,.470,239,606,.394,495,684,.724,1078,467,237,108,483,607
31,13,18,.419,6,7,5,9,2035,2182,653,1559,.419,209,572,.365,520,717,.725,978,305,233,79,543,741
30,8,22,.267,8,5,0,15,2043,2198,756,1722,.439,206,607,.339,325,509,.639,1069,423,209,56,470,514
30,14,16,.467,10,4,2,10,2101,2151,700,1736,.403,261,786,.332,440,628,.701,1074,368,164,63,382,588
33,15,18,.455,9,7,4,8,2261,2256,775,1804,.430,247,726,.340,464,733,.633,1216,438,179,59,531,580
29,9,20,.310,3,3,4,16,2110,2252,764,1724,.443,191,528,.362,391,549,.712,940,384,243,102,410,578
30,11,19,.367,10,8,0,9,1937,2032,705,1739,.405,186,604,.308,341,516,.661,1005,376,230,58,379,565
30,7,23,.233,5,9,2,13,1758,2041,637,1548,.411,187,595,.314,297,469,.633,903,346,206,31,441,517
36,25,11,.694,16,4,6,6,2636,2365,1017,2170,.469,248,725,.342,354,612,.578,1264,562,342,191,512,606
31,10,21,.323,6,8,3,12,1974,2129,689,1752,.393,198,648,.306,398,558,.713,1026,360,231,125,420,606
30,15,15,.500,12,5,3,10,2231,2141,830,1821,.456,217,643,.337,354,528,.670,1048,497,277,76,451,566
29,10,19,.345,5,9,5,9,1652,1771,570,1433,.398,147,463,.317,365,531,.687,917,274,178,75,440,501
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
33,22,11,.667,11,2,8,6,2290,2166,832,1846,.451,248,716,.346,378,557,.679,1187,462,210,127,494,516
30,17,13,.567,10,4,5,7,2178,2130,768,1573,.488,163,438,.372,479,673,.712,1056,413,215,137,526,615
27,7,20,.259,6,9,1,10,1867,2163,662,1576,.420,154,500,.308,389,598,.651,998,359,185,117,472,572
